Driver,LapNumber,LapTime,Compound,PitStatus,SessionTime
VER,4,86.07807360031835,MEDIUM,Running,2024-05-26 00:08:12
PIA,50,87.19127526936936,MEDIUM,Running,2024-05-26 00:08:24
STR,5,82.7316829312695,HARD,Running,2024-05-26 00:08:36
PIA,20,84.01081175703162,MEDIUM,Running,2024-05-26 00:08:48
RUS,75,88.46669668422724,MEDIUM,Running,2024-05-26 00:09:00
VER,37,85.09530840599449,HARD,Running,2024-05-26 00:09:12
HAM,22,87.29760621016958,SOFT,Running,2024-05-26 00:09:24
SAI,58,84.68375680683658,MEDIUM,Running,2024-05-26 00:09:36
ALO,68,85.32889271012368,HARD,Running,2024-05-26 00:09:48
NOR,44,88.7134623589377,MEDIUM,Running,2024-05-26 00:10:00
LEC,34,86.28752203613644,HARD,Running,2024-05-26 00:10:12
HAM,77,84.8792740195242,SOFT,Running,2024-05-26 00:10:24
VER,42,84.26994577055487,MEDIUM,Running,2024-05-26 00:10:36
ALO,9,84.43462429365623,SOFT,Running,2024-05-26 00:10:48
HAM,7,87.73480805532677,SOFT,Running,2024-05-26 00:11:00
VER,68,86.87789695555006,HARD,Running,2024-05-26 00:11:12
PER,19,83.43238206226754,MEDIUM,Running,2024-05-26 00:11:24
PER,31,85.65692140236726,MEDIUM,Running,2024-05-26 00:11:36
PIA,35,85.37973035074918,MEDIUM,Running,2024-05-26 00:11:48
HAM,57,86.06896698522293,MEDIUM,Running,2024-05-26 00:12:00
PER,61,84.41357198554553,MEDIUM,Running,2024-05-26 00:12:12
VER,31,87.47605010096896,HARD,Running,2024-05-26 00:12:24
PIA,53,85.49758930088515,MEDIUM,Running,2024-05-26 00:12:36
VER,32,86.17218573165374,SOFT,Running,2024-05-26 00:12:48
PIA,66,84.08755759659424,SOFT,Running,2024-05-26 00:13:00
HAM,59,84.17823635219298,MEDIUM,Running,2024-05-26 00:13:12
ALO,10,90.28351999668043,HARD,Running,2024-05-26 00:13:24
SAI,2,88.74014391436803,HARD,Running,2024-05-26 00:13:36
STR,66,85.37457390681075,MEDIUM,Running,2024-05-26 00:13:48
ALO,60,88.25940711130849,SOFT,Running,2024-05-26 00:14:00
RUS,17,87.68292752567237,MEDIUM,Running,2024-05-26 00:14:12
VER,16,84.37462014771155,MEDIUM,Running,2024-05-26 00:14:24
RUS,16,84.19512023747616,MEDIUM,Running,2024-05-26 00:14:36
ALO,46,86.70361792563237,HARD,Running,2024-05-26 00:14:48
PIA,39,85.96810914860308,HARD,In Lap,2024-05-26 00:15:00
STR,31,84.7763916905903,SOFT,Running,2024-05-26 00:15:12
STR,1,86.79820777874772,SOFT,In Lap,2024-05-26 00:15:24
LEC,11,82.9035307339327,MEDIUM,Running,2024-05-26 00:15:36
STR,4,85.70700275013442,SOFT,Running,2024-05-26 00:15:48
SAI,71,83.26993742358704,MEDIUM,Running,2024-05-26 00:16:00
STR,26,83.32921558165489,SOFT,Running,2024-05-26 00:16:12
ALO,50,84.22782337862567,MEDIUM,Running,2024-05-26 00:16:24
LEC,12,86.15391709741918,HARD,Running,2024-05-26 00:16:36
ALO,75,84.28457338400767,MEDIUM,Pit,2024-05-26 00:16:48
ALO,65,83.3074045056893,HARD,Running,2024-05-26 00:17:00
NOR,47,86.35904856481851,HARD,Running,2024-05-26 00:17:12
LEC,53,88.18694467999387,SOFT,Running,2024-05-26 00:17:24
ALO,71,86.64993078156363,SOFT,Running,2024-05-26 00:17:36
NOR,2,88.74323770426857,HARD,Running,2024-05-26 00:17:48
NOR,24,88.03652110848466,MEDIUM,Running,2024-05-26 00:18:00
LEC,4,84.62262921748211,MEDIUM,Running,2024-05-26 00:18:12
RUS,19,86.63788767485539,SOFT,Running,2024-05-26 00:18:24
PIA,26,85.33506457160071,MEDIUM,Running,2024-05-26 00:18:36
SAI,75,87.4117796061565,MEDIUM,Running,2024-05-26 00:18:48
PIA,40,85.33473919692557,MEDIUM,Pit,2024-05-26 00:19:00
STR,50,84.08034628342332,HARD,Running,2024-05-26 00:19:12
SAI,43,87.97213069623045,HARD,Running,2024-05-26 00:19:24
STR,75,86.07203199130207,MEDIUM,Running,2024-05-26 00:19:36
ALO,67,84.30564659164338,SOFT,Running,2024-05-26 00:19:48
VER,12,84.60229265986712,MEDIUM,Running,2024-05-26 00:20:00
LEC,67,84.29414284001074,SOFT,Running,2024-05-26 00:20:12
SAI,27,83.69685462112251,HARD,Running,2024-05-26 00:20:24
SAI,54,84.64047238396161,MEDIUM,Running,2024-05-26 00:20:36
ALO,66,86.17143818471617,MEDIUM,Running,2024-05-26 00:20:48
RUS,49,85.61530920633513,SOFT,Running,2024-05-26 00:21:00
NOR,16,84.71120951451212,SOFT,Running,2024-05-26 00:21:12
ALO,2,88.191913443835,MEDIUM,Running,2024-05-26 00:21:24
PER,60,81.88085974701664,MEDIUM,Running,2024-05-26 00:21:36
NOR,54,86.05104464728028,SOFT,Running,2024-05-26 00:21:48
LEC,30,85.24303334132833,HARD,Running,2024-05-26 00:22:00
NOR,38,83.75367378636633,SOFT,Running,2024-05-26 00:22:12
RUS,28,86.1560178224179,MEDIUM,Running,2024-05-26 00:22:24
NOR,25,85.10445321774992,HARD,Running,2024-05-26 00:22:36
LEC,10,87.74473223918501,HARD,Running,2024-05-26 00:22:48
RUS,60,87.06251743634064,HARD,Running,2024-05-26 00:23:00
PIA,42,88.93103532547318,HARD,Running,2024-05-26 00:23:12
SAI,40,84.63002772507481,MEDIUM,Running,2024-05-26 00:23:24
SAI,77,88.01379808154553,HARD,Running,2024-05-26 00:23:36
STR,42,83.40146141757224,SOFT,Running,2024-05-26 00:23:48
PIA,47,85.30085430130396,SOFT,Running,2024-05-26 00:24:00
PIA,37,84.66255530525831,SOFT,Running,2024-05-26 00:24:12
NOR,22,86.58440174323694,MEDIUM,Running,2024-05-26 00:24:24
SAI,57,86.5408964368384,HARD,Pit,2024-05-26 00:24:36
LEC,27,83.87888473218965,SOFT,Running,2024-05-26 00:24:48
HAM,41,86.68474591317195,SOFT,Running,2024-05-26 00:25:00
HAM,34,84.81511965088099,SOFT,Running,2024-05-26 00:25:12
RUS,32,84.02976475208695,HARD,Running,2024-05-26 00:25:24
SAI,66,85.47879354814381,SOFT,Running,2024-05-26 00:25:36
SAI,12,82.84168050954747,HARD,Running,2024-05-26 00:25:48
HAM,40,87.17635142997979,HARD,Running,2024-05-26 00:26:00
SAI,73,85.3998825412049,HARD,Pit,2024-05-26 00:26:12
NOR,76,85.43925788076352,MEDIUM,Running,2024-05-26 00:26:24
PER,73,85.3431000712443,MEDIUM,In Lap,2024-05-26 00:26:36
VER,10,88.46433015604521,HARD,Running,2024-05-26 00:26:48
PIA,48,88.23397983989368,HARD,Running,2024-05-26 00:27:00
STR,20,87.93136996811853,MEDIUM,Running,2024-05-26 00:27:12
RUS,39,85.34692504033409,MEDIUM,Running,2024-05-26 00:27:24
PER,60,83.49187515751811,HARD,Running,2024-05-26 00:27:36
HAM,66,85.47123700280895,MEDIUM,Running,2024-05-26 00:27:48
PIA,65,86.06592075730893,SOFT,Running,2024-05-26 00:28:00
SAI,51,86.9626985470079,HARD,Running,2024-05-26 00:28:12
STR,36,86.06012893398044,HARD,Running,2024-05-26 00:28:24
SAI,24,83.65231030285875,MEDIUM,Running,2024-05-26 00:28:36
LEC,27,84.53625215338761,SOFT,In Lap,2024-05-26 00:28:48
LEC,2,84.37295424375193,MEDIUM,Running,2024-05-26 00:29:00
STR,31,86.47029549073048,SOFT,Running,2024-05-26 00:29:12
STR,57,86.51447541583194,SOFT,Running,2024-05-26 00:29:24
HAM,78,86.75033739854557,HARD,Running,2024-05-26 00:29:36
STR,66,86.04186453841024,SOFT,Running,2024-05-26 00:29:48
NOR,29,81.79344088241643,HARD,Running,2024-05-26 00:30:00
SAI,15,82.39345257910534,SOFT,In Lap,2024-05-26 00:30:12
PER,12,85.24766226358865,HARD,Running,2024-05-26 00:30:24
ALO,28,85.6765402568395,SOFT,Pit,2024-05-26 00:30:36
STR,24,87.75659805687536,MEDIUM,Running,2024-05-26 00:30:48
RUS,21,85.64003126639106,SOFT,Running,2024-05-26 00:31:00
LEC,10,83.74329120445263,MEDIUM,Running,2024-05-26 00:31:12
NOR,78,86.69189665399927,SOFT,Running,2024-05-26 00:31:24
PIA,18,85.46894695284436,SOFT,Running,2024-05-26 00:31:36
ALO,14,84.77630138603874,HARD,Running,2024-05-26 00:31:48
PER,34,82.5937210656538,SOFT,Running,2024-05-26 00:32:00
ALO,58,85.65333661460022,SOFT,Running,2024-05-26 00:32:12
STR,76,85.91187223976303,SOFT,Running,2024-05-26 00:32:24
HAM,22,83.70693665260912,MEDIUM,Running,2024-05-26 00:32:36
LEC,70,86.8398440187713,HARD,Running,2024-05-26 00:32:48
LEC,36,86.67863423757177,HARD,Running,2024-05-26 00:33:00
PIA,45,85.58804264830735,SOFT,Running,2024-05-26 00:33:12
HAM,36,85.52110114429567,SOFT,Running,2024-05-26 00:33:24
SAI,22,87.20286794399564,MEDIUM,Running,2024-05-26 00:33:36
VER,78,86.16155466380586,SOFT,Running,2024-05-26 00:33:48
NOR,61,84.23594019189295,HARD,Pit,2024-05-26 00:34:00
LEC,56,85.14423308951973,HARD,In Lap,2024-05-26 00:34:12
RUS,33,86.50232892348494,MEDIUM,Running,2024-05-26 00:34:24
LEC,45,81.8418223362023,MEDIUM,Running,2024-05-26 00:34:36
ALO,36,83.82325311217866,HARD,Running,2024-05-26 00:34:48
LEC,20,86.72784779941016,MEDIUM,Pit,2024-05-26 00:35:00
LEC,18,87.675979687589,SOFT,Running,2024-05-26 00:35:12
VER,38,87.33788773248243,SOFT,Running,2024-05-26 00:35:24
VER,67,87.107927962046,MEDIUM,Running,2024-05-26 00:35:36
PER,23,85.7335389528086,HARD,Running,2024-05-26 00:35:48
SAI,16,83.64797386256215,MEDIUM,Running,2024-05-26 00:36:00
RUS,59,85.14607790776817,HARD,Running,2024-05-26 00:36:12
LEC,69,81.91211570888547,MEDIUM,Running,2024-05-26 00:36:24
LEC,68,87.84118095517935,MEDIUM,Running,2024-05-26 00:36:36
NOR,21,84.02919695554624,MEDIUM,Running,2024-05-26 00:36:48
VER,78,84.53997763195824,SOFT,Running,2024-05-26 00:37:00
RUS,78,87.40551429475303,SOFT,Running,2024-05-26 00:37:12
PIA,70,82.59367147720282,HARD,Running,2024-05-26 00:37:24
PER,12,83.35907527675423,MEDIUM,Running,2024-05-26 00:37:36
SAI,16,85.98234841888524,SOFT,Running,2024-05-26 00:37:48
HAM,14,86.43668474712146,MEDIUM,Running,2024-05-26 00:38:00
SAI,61,85.37093856868651,HARD,Pit,2024-05-26 00:38:12
ALO,71,85.42965039671536,SOFT,Running,2024-05-26 00:38:24
LEC,46,87.78308031701,HARD,Running,2024-05-26 00:38:36
PER,32,86.64537320110917,SOFT,Running,2024-05-26 00:38:48
ALO,15,86.40210588214958,MEDIUM,Running,2024-05-26 00:39:00
RUS,44,86.89616368702873,HARD,Running,2024-05-26 00:39:12
HAM,17,84.95893750556048,SOFT,In Lap,2024-05-26 00:39:24
VER,41,89.41169819545743,SOFT,Running,2024-05-26 00:39:36
PER,54,81.34644326700153,MEDIUM,Running,2024-05-26 00:39:48
PER,44,88.1242578434138,HARD,Running,2024-05-26 00:40:00
LEC,5,87.1237935337376,HARD,Running,2024-05-26 00:40:12
STR,27,85.94691885279154,HARD,Running,2024-05-26 00:40:24
PER,78,85.6440521236838,MEDIUM,Running,2024-05-26 00:40:36
NOR,43,85.2200040651532,SOFT,Running,2024-05-26 00:40:48
HAM,31,87.48619845833413,SOFT,Pit,2024-05-26 00:41:00
HAM,17,85.42824394680021,HARD,Running,2024-05-26 00:41:12
NOR,54,84.18980746885845,SOFT,Running,2024-05-26 00:41:24
PIA,62,87.12356919357903,HARD,Running,2024-05-26 00:41:36
NOR,32,88.35257922130775,MEDIUM,Running,2024-05-26 00:41:48
NOR,40,82.03109557845825,MEDIUM,Pit,2024-05-26 00:42:00
HAM,13,89.74276529538658,MEDIUM,Running,2024-05-26 00:42:12
SAI,35,83.63388366444664,HARD,Running,2024-05-26 00:42:24
HAM,5,83.77146310227236,SOFT,Running,2024-05-26 00:42:36
STR,73,83.2591985049133,MEDIUM,Running,2024-05-26 00:42:48
LEC,29,85.50152829443633,HARD,Running,2024-05-26 00:43:00
ALO,70,83.19650708705646,HARD,Running,2024-05-26 00:43:12
SAI,25,83.4151318850684,MEDIUM,Running,2024-05-26 00:43:24
VER,22,84.26060991434949,MEDIUM,In Lap,2024-05-26 00:43:36
ALO,66,85.74922021534981,MEDIUM,Running,2024-05-26 00:43:48
LEC,45,85.92273647814152,SOFT,Running,2024-05-26 00:44:00
STR,69,87.73415510293815,SOFT,In Lap,2024-05-26 00:44:12
STR,72,87.69266779175085,HARD,In Lap,2024-05-26 00:44:24
VER,1,87.34430036537569,MEDIUM,Running,2024-05-26 00:44:36
SAI,44,85.02908909208169,MEDIUM,Running,2024-05-26 00:44:48
PIA,75,82.18587279960614,SOFT,Running,2024-05-26 00:45:00
NOR,39,82.14603408305281,MEDIUM,Running,2024-05-26 00:45:12
SAI,54,87.33191377699767,HARD,Running,2024-05-26 00:45:24
PIA,75,87.01875804907327,MEDIUM,Running,2024-05-26 00:45:36
STR,29,84.38993196760072,SOFT,Running,2024-05-26 00:45:48
HAM,54,82.90667474766461,HARD,Running,2024-05-26 00:46:00
LEC,16,83.61512815829563,HARD,Running,2024-05-26 00:46:12
VER,20,85.81444974395914,MEDIUM,Running,2024-05-26 00:46:24
LEC,46,85.81780979973888,HARD,Running,2024-05-26 00:46:36
RUS,67,87.3765562916286,MEDIUM,Running,2024-05-26 00:46:48
RUS,65,84.68936197702651,MEDIUM,Running,2024-05-26 00:47:00
SAI,58,85.06073514869705,SOFT,Running,2024-05-26 00:47:12
STR,53,87.5255783507396,HARD,Running,2024-05-26 00:47:24
STR,1,81.67482917750226,MEDIUM,Running,2024-05-26 00:47:36
NOR,66,86.07141530445065,MEDIUM,Running,2024-05-26 00:47:48
NOR,29,84.89838819846251,MEDIUM,Running,2024-05-26 00:48:00
NOR,70,86.78296760211674,HARD,Running,2024-05-26 00:48:12
HAM,8,86.42269188515041,HARD,Running,2024-05-26 00:48:24
ALO,29,84.2466426400986,HARD,Running,2024-05-26 00:48:36
PER,51,84.58679725833784,MEDIUM,Running,2024-05-26 00:48:48
ALO,33,81.35644423401418,HARD,Running,2024-05-26 00:49:00
LEC,3,86.84998469687127,MEDIUM,Running,2024-05-26 00:49:12
ALO,60,85.93159287611634,HARD,Running,2024-05-26 00:49:24
HAM,35,88.01732223981308,HARD,Running,2024-05-26 00:49:36
LEC,69,84.78107993491102,MEDIUM,Running,2024-05-26 00:49:48
ALO,76,87.14580407576645,HARD,Running,2024-05-26 00:50:00
HAM,20,83.57413311798454,MEDIUM,In Lap,2024-05-26 00:50:12
PER,73,80.63137836385387,HARD,Running,2024-05-26 00:50:24
ALO,39,85.32987490733802,HARD,Running,2024-05-26 00:50:36
HAM,4,84.47997284090455,HARD,Running,2024-05-26 00:50:48
NOR,19,83.6085214335875,HARD,Running,2024-05-26 00:51:00
STR,45,87.11658970827591,SOFT,Running,2024-05-26 00:51:12
NOR,43,87.6748440123784,MEDIUM,Running,2024-05-26 00:51:24
STR,13,85.68975830285855,SOFT,Running,2024-05-26 00:51:36
VER,13,85.1714656746873,HARD,Running,2024-05-26 00:51:48
VER,60,85.61287507302454,HARD,Running,2024-05-26 00:52:00
VER,57,84.32473276097761,MEDIUM,Running,2024-05-26 00:52:12
PER,52,86.51267270717112,MEDIUM,Running,2024-05-26 00:52:24
NOR,53,82.72913042490941,MEDIUM,Running,2024-05-26 00:52:36
STR,43,83.56845936882566,MEDIUM,Running,2024-05-26 00:52:48
HAM,72,84.07572992764776,HARD,Pit,2024-05-26 00:53:00
LEC,72,86.47443977576675,MEDIUM,In Lap,2024-05-26 00:53:12
HAM,42,84.95551825732217,SOFT,Running,2024-05-26 00:53:24
LEC,26,87.94870271046553,MEDIUM,Running,2024-05-26 00:53:36
RUS,23,86.94595756148132,MEDIUM,Running,2024-05-26 00:53:48
HAM,43,84.05803228398777,SOFT,Running,2024-05-26 00:54:00
ALO,77,86.64023842271752,SOFT,Running,2024-05-26 00:54:12
ALO,28,84.76522734932637,SOFT,Running,2024-05-26 00:54:24
SAI,9,86.35172489104313,SOFT,Running,2024-05-26 00:54:36
NOR,20,87.03318989446736,MEDIUM,Running,2024-05-26 00:54:48
LEC,56,87.50648628326289,SOFT,Running,2024-05-26 00:55:00
LEC,39,85.86363882570825,HARD,Running,2024-05-26 00:55:12
NOR,51,88.3802226356644,MEDIUM,Running,2024-05-26 00:55:24
PER,12,86.29436584091029,HARD,Running,2024-05-26 00:55:36
SAI,55,85.74309388702373,MEDIUM,Running,2024-05-26 00:55:48
PER,78,84.95547410221211,MEDIUM,Running,2024-05-26 00:56:00
PER,11,84.36364376366093,HARD,Running,2024-05-26 00:56:12
PER,26,86.25579070691107,SOFT,Pit,2024-05-26 00:56:24
NOR,42,85.68136374656397,SOFT,Running,2024-05-26 00:56:36
PER,27,85.9694860811419,HARD,Running,2024-05-26 00:56:48
ALO,11,86.36534248960133,SOFT,Running,2024-05-26 00:57:00
VER,38,85.9618826606575,MEDIUM,Running,2024-05-26 00:57:12
RUS,43,89.12393173247013,MEDIUM,Running,2024-05-26 00:57:24
LEC,19,84.54966320847934,MEDIUM,Running,2024-05-26 00:57:36
LEC,64,86.27812801941548,SOFT,Running,2024-05-26 00:57:48
RUS,6,85.09015221147227,SOFT,Running,2024-05-26 00:58:00
NOR,46,81.06935019556457,HARD,Running,2024-05-26 00:58:12
HAM,42,85.1517489188368,MEDIUM,Running,2024-05-26 00:58:24
NOR,65,83.81430529934663,HARD,In Lap,2024-05-26 00:58:36
LEC,72,85.37971957408726,SOFT,In Lap,2024-05-26 00:58:48
LEC,59,85.45247546160293,HARD,Running,2024-05-26 00:59:00
RUS,52,86.19364419829081,SOFT,Running,2024-05-26 00:59:12
PER,47,84.5456771244309,MEDIUM,Running,2024-05-26 00:59:24
NOR,7,84.77083275167351,MEDIUM,Running,2024-05-26 00:59:36
STR,11,86.7612485750579,SOFT,Running,2024-05-26 00:59:48
RUS,61,84.04369464693399,SOFT,Running,2024-05-26 01:00:00
ALO,68,82.19078461672328,SOFT,Running,2024-05-26 01:00:12
LEC,25,85.78265644246767,MEDIUM,Running,2024-05-26 01:00:24
RUS,12,87.42752774562284,SOFT,Running,2024-05-26 01:00:36
NOR,26,86.7405248561644,MEDIUM,Running,2024-05-26 01:00:48
LEC,12,85.81587155195454,HARD,Running,2024-05-26 01:01:00
HAM,43,87.7511616180278,MEDIUM,Running,2024-05-26 01:01:12
RUS,51,87.44763103049685,HARD,Running,2024-05-26 01:01:24
SAI,37,84.90435385008769,MEDIUM,Running,2024-05-26 01:01:36
LEC,46,85.94553911100672,MEDIUM,Running,2024-05-26 01:01:48
NOR,53,86.0228284007456,SOFT,Running,2024-05-26 01:02:00
VER,13,85.34384886826338,MEDIUM,In Lap,2024-05-26 01:02:12
STR,54,87.54164562757298,SOFT,Running,2024-05-26 01:02:24
PIA,57,85.22614721988582,SOFT,Running,2024-05-26 01:02:36
PER,4,84.599497996191,SOFT,Running,2024-05-26 01:02:48
PIA,75,80.83522573672472,MEDIUM,Running,2024-05-26 01:03:00
NOR,49,84.06305301172732,SOFT,Running,2024-05-26 01:03:12
ALO,7,83.13224776415382,HARD,Running,2024-05-26 01:03:24
ALO,11,85.42728692772042,HARD,Running,2024-05-26 01:03:36
VER,54,83.24335934916704,MEDIUM,Running,2024-05-26 01:03:48
PER,45,86.59563253500403,SOFT,Running,2024-05-26 01:04:00
SAI,23,87.49518769478527,HARD,In Lap,2024-05-26 01:04:12
VER,28,85.44391783454138,MEDIUM,Running,2024-05-26 01:04:24
PIA,57,83.72876811072527,MEDIUM,Running,2024-05-26 01:04:36
VER,26,86.01552067712676,MEDIUM,Running,2024-05-26 01:04:48
PIA,25,88.90825510455845,MEDIUM,Running,2024-05-26 01:05:00
LEC,54,88.34846513278421,MEDIUM,In Lap,2024-05-26 01:05:12
ALO,29,82.96905835217264,SOFT,Running,2024-05-26 01:05:24
LEC,36,82.90227379775718,SOFT,Running,2024-05-26 01:05:36
STR,14,82.44083440836009,SOFT,Running,2024-05-26 01:05:48
PER,78,83.45343698324942,SOFT,Running,2024-05-26 01:06:00
SAI,35,85.95286644378353,MEDIUM,Running,2024-05-26 01:06:12
PIA,30,84.49795030469413,MEDIUM,Running,2024-05-26 01:06:24
SAI,17,83.99039393540771,HARD,Running,2024-05-26 01:06:36
PIA,67,87.37039758152962,HARD,Running,2024-05-26 01:06:48
NOR,30,86.45416761435773,SOFT,Running,2024-05-26 01:07:00
VER,45,82.43153527112314,MEDIUM,Running,2024-05-26 01:07:12
STR,51,87.26710441357734,HARD,Running,2024-05-26 01:07:24
ALO,47,86.41086250043168,HARD,Running,2024-05-26 01:07:36
PIA,53,86.45087386445466,HARD,Running,2024-05-26 01:07:48
SAI,64,84.47314675692498,HARD,Running,2024-05-26 01:08:00
STR,38,85.1628524763692,SOFT,Running,2024-05-26 01:08:12
HAM,64,81.94910124924519,MEDIUM,Running,2024-05-26 01:08:24
HAM,7,87.06057601056233,SOFT,Running,2024-05-26 01:08:36
LEC,22,83.70193137965764,HARD,Running,2024-05-26 01:08:48
ALO,41,83.9328677440309,HARD,Running,2024-05-26 01:09:00
NOR,74,83.9085456701525,MEDIUM,Running,2024-05-26 01:09:12
SAI,10,88.74072201042688,MEDIUM,Running,2024-05-26 01:09:24
VER,57,84.29633268342788,SOFT,Running,2024-05-26 01:09:36
VER,7,87.1960684923787,MEDIUM,Running,2024-05-26 01:09:48
SAI,50,85.456814211211,SOFT,Running,2024-05-26 01:10:00
PER,52,84.00760251581613,SOFT,Running,2024-05-26 01:10:12
NOR,33,83.68127990409654,HARD,Running,2024-05-26 01:10:24
STR,1,84.36805904252881,SOFT,Running,2024-05-26 01:10:36
PIA,53,85.36596946780342,HARD,Running,2024-05-26 01:10:48
PER,60,86.58312679149871,SOFT,Running,2024-05-26 01:11:00
PIA,34,84.65221497691725,SOFT,Running,2024-05-26 01:11:12
PIA,4,84.58485886479542,MEDIUM,Running,2024-05-26 01:11:24
PER,17,83.91392073917626,MEDIUM,Running,2024-05-26 01:11:36
LEC,4,83.3507241453716,HARD,In Lap,2024-05-26 01:11:48
HAM,43,83.20015616444593,MEDIUM,Running,2024-05-26 01:12:00
PIA,4,87.27845205229129,SOFT,Running,2024-05-26 01:12:12
PER,1,84.54808964768243,HARD,Running,2024-05-26 01:12:24
PER,71,84.70750338079962,HARD,Running,2024-05-26 01:12:36
RUS,50,84.30009735063446,HARD,Running,2024-05-26 01:12:48
LEC,73,84.92965867813028,SOFT,Running,2024-05-26 01:13:00
ALO,61,86.16793351378219,MEDIUM,Running,2024-05-26 01:13:12
RUS,35,84.62361452189468,HARD,In Lap,2024-05-26 01:13:24
RUS,8,85.82533179737503,SOFT,Running,2024-05-26 01:13:36
SAI,24,88.05277528109575,MEDIUM,Running,2024-05-26 01:13:48
HAM,36,84.02460477086304,MEDIUM,Running,2024-05-26 01:14:00
PER,50,84.70895711401762,HARD,Pit,2024-05-26 01:14:12
HAM,43,86.65390848494125,SOFT,Running,2024-05-26 01:14:24
NOR,27,88.19513310092746,MEDIUM,Running,2024-05-26 01:14:36
SAI,32,83.26384149982283,SOFT,Running,2024-05-26 01:14:48
ALO,78,82.4385527552739,MEDIUM,Running,2024-05-26 01:15:00
HAM,18,85.49890856842987,HARD,Running,2024-05-26 01:15:12
VER,28,85.31302158545076,HARD,Running,2024-05-26 01:15:24
PIA,29,86.76030473309898,MEDIUM,Pit,2024-05-26 01:15:36
NOR,16,86.48560862391783,SOFT,Running,2024-05-26 01:15:48
LEC,47,85.4388661934263,MEDIUM,Running,2024-05-26 01:16:00
ALO,59,87.38858673606022,SOFT,Running,2024-05-26 01:16:12
NOR,31,84.27416822126521,MEDIUM,Running,2024-05-26 01:16:24
PIA,4,85.88084542573816,HARD,Running,2024-05-26 01:16:36
SAI,37,83.31172698813423,SOFT,Running,2024-05-26 01:16:48
PIA,17,85.42416910288443,HARD,Running,2024-05-26 01:17:00
RUS,39,82.86996305062794,SOFT,Running,2024-05-26 01:17:12
PIA,48,83.49148161544267,MEDIUM,Running,2024-05-26 01:17:24
RUS,46,88.57701330748186,HARD,In Lap,2024-05-26 01:17:36
SAI,48,82.21583237785997,HARD,Running,2024-05-26 01:17:48
STR,39,85.11002694825343,SOFT,Running,2024-05-26 01:18:00
RUS,4,86.9889872209044,SOFT,Running,2024-05-26 01:18:12
LEC,30,89.49844004704097,SOFT,Running,2024-05-26 01:18:24
PIA,30,85.81873507517889,HARD,Running,2024-05-26 01:18:36
PIA,22,85.92159622691284,MEDIUM,Running,2024-05-26 01:18:48
